utc_now_ticks; elapsed; selected
636953383964352253; 5329; 1719
636953383990763032; 7970; 1921
636953384020552946; 10948; 3525
636953384042428515; 13137; 3995
636953384096745675; 18568; 6409
636953384113497012; 20243; 6501
636953384123846969; 21278; 6839
636953384151825673; 24076; 7016
636953384168265457; 25719; 8990
636953384178481856; 26742; 9076
