utc_now_ticks; elapsed; selected
636961214977637262; 7913; 1719
636961215003859526; 10535; 1921
636961215099353441; 20085; 3525
636961215118247252; 21974; 3995
636961215177770809; 27926; 6409
636961215197094764; 29859; 6501
636961215210307725; 31180; 6839
636961215238517055; 34001; 7016
636961215250075408; 35156; 8990
636961215264393514; 36589; 9076
