Participant_ID;Iteration;DateAndTime;SleepSeconds;SleepDuration;FadeSeconds;StayOnSeconds;AlarmDuration;SAM_pleasure_pre;SAM_arousal_pre;SAM_dominance_pre;SAM_pleasure_post;SAM_arousal_post;SAM_dominance_post;RSME;orderingMis;orderingTime;matchingMis;matchingTime;countingMis;countingTime;o1;o2;o3;o4;o5;o6;o7;o8;o9;o10;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;c1;c2;c3
dwn26;0;20.06.2019 17:39;900;15;20;5;-1;4;1;3;4;1;2;0.45;2;18452;1;83307;0;34449;4494;975;3966;943;1779;1398;855;2055;1275;712;4830;4865;5153;4109;52988;2144;1422;4752;1445;1599;6527;19137;8785
chn05;0;21.06.2019 12:09;900;15;5;5;-1;5;2;3;3;1;2;0.51;0;17585;7;23888;0;29338;4380;901;4464;823;2853;833;1156;966;588;621;6450;1378;2110;3355;1798;1389;2432;1053;1480;2443;8983;10727;9628
aks01;0;21.06.2019 14:13;900;15;5;5;-1;5;2;3;4;2;3;0.25;1;29715;0;37115;1;37781;12868;2420;2832;1710;4077;1511;1098;1378;977;844;15725;2665;1821;2221;4155;2510;1689;1387;1711;3231;13360;14659;9762
bta14;0;25.06.2019 14:41;900;15;20;5;-1;3;1;2;3;1;2;0.27;0;37517;0;19934;0;38304;11574;4844;5350;1624;5840;1821;2392;2029;1077;966;4528;2079;1553;1578;1666;1989;1622;1521;1499;1899;9471;16671;12162
tru08;0;25.06.2019 16:16;900;15;20;5;-1;5;2;3;4;1;2;0.66;2;22517;10;22234;2;53848;5126;1274;3545;3732;2631;2300;456;1866;552;1035;2275;2531;1390;3729;3288;1868;1642;1746;2276;1489;6148;20671;27029
ujt13;0;26.06.2019 14:02;900;15;20;5;-1;5;4;2;4;2;3;0.34;0;24127;0;26498;0;36704;5768;2466;3121;1623;6018;1757;975;723;920;756;10096;2053;1688;1620;2021;2124;1876;1777;1610;1633;8816;12506;15382
mhi13;0;26.06.2019 16:52;900;15;5;5;-1;4;2;3;4;3;3;0.24;0;29281;9;25631;0;50395;6025;3031;7577;1930;3099;1190;1320;2055;1576;1478;4719;2498;2678;2241;2387;2213;2287;2033;2399;2176;13593;27609;9193
url05;0;18.07.2019 13:20;900;15;-1;5;05.7379993;4;3;4;4;3;4;0.18;0;33767;0;19801;0;33529;8879;4042;7030;1556;5064;1688;2721;943;1022;822;3853;1853;1701;1510;2143;1889;1787;1989;1686;1390;10416;12983;10130
hhh29;0;18.07.2019 14:16;900;15;-1;5;10.8366139;4;2;3;4;1;2;0.3;0;23350;0;13868;1;25263;5158;777;4554;1110;6132;1153;1267;1754;677;768;1674;1367;1155;1188;1211;1455;1333;1621;1332;1532;7806;7318;10139
njy25;0;18.07.2019 16:34;900;15;-1;5;05.8726116;4;1;3;4;2;3;0.21;0;21930;0;19267;0;28353;5870;1099;4752;1401;3297;1389;1533;999;887;703;1765;1876;2566;1938;1548;1645;1954;2577;1799;1599;11482;6709;10162
