utc_now_ticks; elapsed; selected
636971555823252853; 5768; 1719
636971555847914423; 8234; 1921
636971555879120397; 11355; 3525
636971555895357968; 12978; 3995
636971555955530520; 18996; 6409
636971555973097874; 20753; 6501
636971555982862044; 21728; 6839
636971555990082737; 22451; 7016
636971555999288120; 23371; 8990
636971556006837934; 24127; 9076
