utc_now_ticks; elapsed; selected
636960358844439287; 6513; 1719
636960358872761098; 9345; 1921
636960358920078970; 14078; 3525
636960358938722342; 15942; 3995
636960359011248084; 23194; 6409
636960359017915102; 23862; 6501
636960359025355212; 24605; 6839
636960359040569102; 26126; 7016
636960359044790474; 26548; 8990
636960359050225948; 27093; 9076
