utc_now_ticks; elapsed; selected
636952608358624295; 4647; 1719
636952608394590242; 8243; 3525
636952608407498524; 9535; 3995
636952608449362085; 13721; 6501
636952608456594375; 14444; 6839
636952608487238886; 17509; 1921
636952608523229253; 21108; 6409
636952608540763038; 22861; 7016
636952608550322552; 23817; 8990
636952608561526925; 24937; 9076
