utc_now_ticks; elapsed; selected
636998534927364095; 5448; 1719
636998534938462355; 6558; 1921
636998534986667981; 11379; 3525
636998535001553598; 12867; 3995
636998535027745637; 15487; 6409
636998535036090099; 16321; 6501
636998535050745507; 17787; 6839
636998535080514274; 20764; 7016
636998535089503981; 21663; 8990
636998535101636199; 22875; 9076
