utc_now_ticks; elapsed; selected
636999383348430854; 4636; 1719
636999383384633444; 8256; 1921
636999383422635012; 12056; 3525
636999383433920198; 13185; 3995
636999383464165683; 16210; 6409
636999383473613495; 17154; 6501
636999383481825668; 17976; 6839
636999383497477673; 19540; 7016
636999383505157132; 20308; 8990
636999383513006682; 21093; 9076
