utc_now_ticks; elapsed; selected
637018195483328079; 6503; 3525
637018195508536586; 9024; 1921
637018195521200280; 10290; 3995
637018195556295487; 13799; 1719
637018195624585371; 20629; 6409
637018195643591627; 22529; 6501
637018195666903819; 24861; 6839
637018195687007695; 26871; 7016
637018195700015785; 28171; 8990
637018195715334859; 29703; 9076
