utc_now_ticks; elapsed; selected
636995852979817522; 4271; 9076
636995853006359919; 6925; 8990
636995853042572295; 10545; 7016
636995853060765431; 12365; 6839
636995853075660461; 13854; 6501
636995853091006369; 15389; 6409
636995853117296822; 18018; 3995
636995853126318924; 18920; 3525
636995853143632038; 20652; 1921
636995853150518868; 21341; 1719
