utc_now_ticks; elapsed; selected
636970772190425816; 5126; 1719
636970772203167067; 6400; 1921
636970772238620148; 9945; 3525
636970772275934486; 13677; 3995
636970772302253036; 16308; 6839
636970772325242435; 18608; 6409
636970772329800244; 19064; 6501
636970772348467422; 20930; 7016
636970772353982392; 21482; 8990
636970772364344857; 22517; 9076
