utc_now_ticks; elapsed; selected
636958643499996807; 6734; 1921
636958643524331472; 9167; 1719
636958643563763077; 13110; 3525
636958643582842854; 15019; 3995
636958643641946616; 20929; 6409
636958643663927887; 23128; 6501
636958643686814225; 25416; 6839
636958643706469368; 27382; 7016
636958643723686163; 29103; 8990
636958643732914549; 30026; 9076
