utc_now_ticks; elapsed; selected
636965416044323324; 4215; 1719
636965416067315826; 6513; 1921
636965416082200271; 8002; 3525
636965416100955533; 9878; 3995
636965416117945876; 11576; 6501
636965416130959145; 12878; 6409
636965416145289440; 14311; 6839
636965416156828027; 15465; 7016
636965416163725608; 16155; 8990
636965416170826621; 16865; 9076
