utc_now_ticks; elapsed; selected
636959574863730194; 4626; 1719
636959574878830337; 6135; 1921
636959574924813561; 10733; 3525
636959574940135298; 12266; 3995
636959574988116936; 17064; 6501
636959575001773389; 18430; 6839
636959575020550263; 20307; 6409
636959575032990317; 21551; 7016
636959575043307774; 22583; 8990
636959575052754511; 23527; 9076
